feature_type,model_name,student_id,slide_id,agent gaze entropy,user gaze entropy,agent workload,agent curiosity,agent valid focus,agent course follow,user workload,user curiosity,user valid focus,user course follow,agent question accuracy,user question accuracy
number,random_forest,175,3,,,0.2692000000000002,0.2437000000000002,0.8948000000000004,0.0334,0.15,0.05,1.0,0.17,1.0,0.0
number,random_forest,176,1,,0.8142250538997018,0.2541000000000001,0.2098999999999999,0.8827000000000003,0.3471000000000002,0.55,0.52,1.0,0.5,1.0,0.8333333333333334
number,random_forest,176,2,,0.9709505944546686,0.4086999999999999,0.3063000000000001,0.9768,0.0083,0.11,0.34,1.0,0.0,1.0,0.6666666666666666
number,random_forest,176,3,,,0.2161000000000003,0.1529000000000002,0.7909000000000007,0.2530999999999998,0.12,0.04,0.67,0.0,0.0,1.0
number,random_forest,178,1,,,0.2260000000000002,0.154,0.7638000000000007,0.2791999999999996,0.32,0.14,0.88,0.0,1.0,1.0
number,random_forest,178,2,,,0.1101999999999998,0.0604999999999999,0.2417999999999999,0.0059,0.24,0.16,1.0,0.0,1.0,1.0
number,random_forest,178,3,,,0.097,0.0541999999999999,0.3875999999999998,0.1373999999999999,0.27,0.14,0.88,0.75,1.0,0.0
number,random_forest,179,1,,0.9165164431996026,0.2317999999999998,0.2922000000000002,0.9243000000000002,0.1831999999999999,0.06,0.3,1.0,0.0,1.0,0.5
number,random_forest,179,2,,,0.1184000000000001,0.0289999999999999,0.4794000000000007,0.0401,0.14,0.06,0.75,0.0,0.0,0.6666666666666666
number,random_forest,181,1,,0.9209648829626262,0.1597000000000001,0.1280999999999998,0.5203000000000001,0.2154999999999998,0.36,0.32,0.87,0.2,1.0,0.6666666666666666
number,random_forest,181,2,,0.896240625180289,0.5252000000000002,0.3814000000000003,0.921600000000001,0.0859,0.45,0.24,1.0,0.5,0.0,0.0
number,random_forest,181,3,,,0.3016999999999996,0.3373999999999998,0.9854,0.4039,0.21,0.26,1.0,0.17,0.0,1.0
number,random_forest,186,1,,0.926992412660448,0.2622000000000002,0.2801000000000001,0.8822000000000001,0.1752,0.44,0.17,1.0,0.0,1.0,0.6666666666666666
number,random_forest,186,2,,0.8112781244591328,0.2905,0.1155999999999998,0.7709000000000007,0.0474,0.3,0.25,1.0,0.0,1.0,0.0
number,random_forest,186,3,,,0.2128999999999998,0.1733999999999998,0.8202000000000003,0.5614000000000007,0.09,0.04,0.67,0.17,0.0,1.0
number,random_forest,191,1,,0.928993200383429,0.2168999999999999,0.2056999999999998,0.7925000000000005,0.1378,0.35,0.35,1.0,0.33,1.0,0.8333333333333334
number,random_forest,191,2,,0.7219280948873623,0.3722000000000002,0.3216000000000004,0.8867000000000008,0.1723,0.35,0.24,1.0,0.33,1.0,0.3333333333333333
number,random_forest,201,1,,0.9674887648835618,0.2879999999999998,0.1899000000000001,0.8224000000000007,0.2132,0.5,0.14,0.75,0.5,1.0,1.0
number,random_forest,201,2,,,0.0677999999999999,0.0343,0.1623999999999999,0.0273,0.25,0.2,0.86,0.29,1.0,0.6666666666666666
number,random_forest,202,1,,0.896240625180289,0.1283999999999999,0.1620999999999998,0.4678999999999999,0.0609,0.6,0.82,0.75,0.0,1.0,0.8333333333333334
number,random_forest,204,1,,0.7402395000567984,0.2118000000000002,0.2366999999999996,0.7921,0.1632999999999999,0.48,0.39,1.0,0.25,1.0,0.3333333333333333
number,random_forest,204,2,,0.9182958340544896,0.4143,0.2907000000000004,0.7295999999999992,0.1348999999999999,0.3,0.27,1.0,0.0,0.0,0.3333333333333333
number,random_forest,204,3,,,0.3120999999999995,0.2145999999999998,0.9639,0.1375999999999999,0.3,0.17,1.0,0.0,0.0,1.0
number,random_forest,207,1,,0.926992412660448,0.3112000000000003,0.2565,0.8874000000000002,0.3333000000000002,0.56,0.44,1.0,0.27,1.0,0.8333333333333334
number,random_forest,207,2,,,0.2195000000000004,0.1516999999999996,0.6039999999999994,0.1646999999999999,0.2,0.21,0.86,0.29,1.0,0.6666666666666666
number,random_forest,208,1,,0.8345901684333654,0.2052000000000001,0.1986,0.8582000000000004,0.4237000000000002,0.28,0.17,0.75,0.5,1.0,0.8333333333333334
number,random_forest,208,2,,,0.1468000000000001,0.0475999999999999,0.4316,0.0424,0.12,0.07,0.62,0.0,0.0,0.6666666666666666
number,random_forest,208,3,,,0.0695999999999999,0.0327,0.2837999999999996,0.1476000000000001,0.13,0.03,0.83,0.5,1.0,1.0
number,random_forest,209,1,,0.8280996181971242,0.1827,0.1949999999999999,0.7352000000000009,0.3344,0.5,0.27,1.0,0.0,1.0,1.0
number,random_forest,209,2,,,0.3755999999999999,0.2326,0.9123000000000002,0.0778,0.18,0.35,1.0,0.0,1.0,0.6666666666666666
number,random_forest,211,1,,0.9155203770500202,0.2630999999999999,0.2109000000000001,0.8351000000000003,0.2343999999999998,0.52,0.34,1.0,0.33,1.0,1.0
number,random_forest,211,2,,,0.4926999999999998,0.4223000000000006,0.9536,0.1418999999999999,0.45,0.34,1.0,0.0,1.0,1.0
number,random_forest,212,1,,0.8223773393621179,0.239,0.2251999999999999,0.8238000000000002,0.1103,0.27,0.19,0.75,0.0,1.0,1.0
number,random_forest,212,2,,1.0,0.0442999999999999,0.0275,0.1258,0.0209,0.18,0.04,1.0,0.0,1.0,1.0
number,random_forest,212,3,,,0.0512,0.0288999999999999,0.3250999999999995,0.0247,0.11,0.01,0.75,0.25,1.0,0.0
number,random_forest,213,1,,0.723290859226812,0.1502999999999999,0.1334,0.4530000000000002,0.2065999999999999,0.28,0.62,0.93,0.07,1.0,0.5
number,random_forest,213,2,,0.9182958340544896,0.2150000000000002,0.2620999999999995,0.6939000000000006,0.081,0.22,0.0,0.67,0.0,1.0,0.0
number,random_forest,216,1,,0.8639310753591651,0.1742999999999999,0.1153999999999999,0.5381999999999996,0.1037,0.21,0.48,0.75,0.0,1.0,0.8333333333333334
number,random_forest,216,2,,0.6500224216483541,0.2913000000000002,0.2888,0.7332000000000006,0.1270999999999999,0.0,0.63,1.0,0.0,1.0,1.0
number,random_forest,216,3,,,0.1844000000000002,0.3349999999999998,0.8249000000000004,0.0721,0.15,0.46,0.62,0.5,1.0,1.0
number,random_forest,217,1,,0.7012363042668347,0.2191999999999998,0.2337999999999998,0.8791000000000004,0.2959999999999995,0.2,0.18,1.0,0.0,1.0,0.6666666666666666
number,random_forest,217,2,,,0.4093000000000004,0.1451,0.8928000000000008,0.0645,0.42,0.4,1.0,0.0,0.0,1.0
number,random_forest,217,3,,,0.1006,0.0746,0.4506999999999992,0.2720999999999995,0.16,0.07,0.62,0.62,1.0,1.0
number,random_forest,218,1,,0.9014772777622144,0.1394000000000001,0.1279999999999998,0.5286999999999995,0.0801,0.2,0.22,1.0,0.0,1.0,0.8333333333333334
number,random_forest,218,2,,0.9591479170272448,0.2981000000000004,0.1769999999999998,0.5492999999999992,0.0877,0.17,0.04,1.0,0.0,0.0,1.0
number,random_forest,220,1,,0.5935169352562453,0.3140999999999999,0.2373,0.8689000000000004,0.1893999999999999,0.29,0.34,1.0,0.75,1.0,1.0
number,random_forest,220,2,,1.0,0.3176999999999998,0.1932000000000001,0.9542000000000002,0.1135999999999999,0.29,0.15,1.0,0.5,1.0,0.6666666666666666
number,random_forest,220,3,,1.0,0.2790999999999994,0.1946999999999997,0.8068000000000002,0.2646999999999995,0.39,0.29,1.0,0.5,1.0,1.0
number,random_forest,228,1,,0.8514097655573916,0.1909,0.1449,0.6529999999999997,0.1476999999999999,0.51,0.23,1.0,0.0,1.0,0.8333333333333334
number,random_forest,228,2,,0.9602297178607612,0.1448000000000001,0.1031999999999999,0.3774999999999992,0.2244000000000003,0.16,0.03,1.0,1.0,0.0,0.6666666666666666
number,random_forest,230,1,,0.7981556841309138,0.1637999999999997,0.1195999999999999,0.5363999999999998,0.1965999999999999,0.33,0.2,1.0,0.5,0.1666666666666666,0.8333333333333334
number,random_forest,230,2,,1.0,0.4195000000000001,0.2822999999999995,0.8172999999999995,0.0665,0.42,0.17,1.0,0.5,1.0,1.0
number,random_forest,230,3,,,0.2055999999999999,0.1280999999999999,0.8745,0.1807,0.18,0.09,0.75,0.62,1.0,1.0
number,random_forest,233,1,,0.8393995341599602,0.2764999999999999,0.2590999999999997,0.8320000000000003,0.3955000000000004,0.42,0.29,0.93,0.4,1.0,0.8333333333333334
number,random_forest,233,2,,0.6500224216483541,0.4825999999999999,0.3906999999999999,0.875800000000001,0.045,0.16,0.2,1.0,0.0,1.0,0.6666666666666666
number,random_forest,233,3,,,0.3010000000000002,0.2909000000000001,0.9007000000000005,0.4117999999999999,0.25,0.09,1.0,0.33,1.0,0.0
number,random_forest,234,1,,0.8875463634589679,0.2683,0.1981,0.8008000000000008,0.1493,0.46,0.13,0.93,0.0,0.0,0.8333333333333334
number,random_forest,234,2,,,0.3076000000000003,0.0909999999999998,0.7788999999999993,0.0166,0.22,0.09,1.0,0.0,1.0,0.3333333333333333
number,random_forest,234,3,,,0.2186999999999998,0.1174000000000001,0.734300000000001,0.2288999999999998,0.13,0.01,0.83,0.5,0.0,0.0
number,random_forest,238,1,,0.3346489759784664,0.2399000000000003,0.2947,0.9285000000000002,0.0998,0.21,0.08,0.75,0.0,1.0,1.0
number,random_forest,238,2,,,0.0111,0.0554999999999999,0.9883,0.0033,0.0,0.04,1.0,0.0,1.0,0.6666666666666666
number,random_forest,240,1,,0.9253440398946444,0.1557000000000001,0.1607999999999999,0.6145000000000006,0.1403999999999999,0.4,0.4,1.0,0.0,1.0,0.8333333333333334
number,random_forest,240,2,,0.9591479170272448,0.5574999999999997,0.3730000000000003,0.9430999999999998,0.2001999999999999,0.23,0.2,1.0,0.0,1.0,1.0
number,random_forest,240,3,,,0.3122999999999997,0.2599999999999997,0.9514000000000002,0.3683999999999994,0.26,0.11,1.0,0.17,1.0,1.0
number,random_forest,241,1,,0.4280272187063688,0.2649000000000002,0.3647999999999999,0.8830000000000001,0.4583000000000004,0.1,0.42,1.0,0.0,1.0,0.5
number,random_forest,244,1,,0.8763576394898525,0.208,0.3808999999999999,0.7717000000000006,0.2167999999999998,0.39,0.34,1.0,0.08,1.0,0.8333333333333334
number,random_forest,244,2,,0.9182958340544896,0.1251000000000001,0.2031000000000002,0.4598999999999998,0.105,0.0,0.86,0.88,0.0,0.0,0.6666666666666666
number,random_forest,245,1,,0.6695919455357793,0.128,0.1443999999999998,0.5366999999999996,0.2280999999999997,0.48,0.62,1.0,0.75,1.0,0.5
number,random_forest,246,1,,0.8565086053541239,0.2929000000000001,0.2745000000000001,0.8468000000000003,0.2731000000000003,0.21,0.06,0.75,0.0,0.0,1.0
number,random_forest,246,2,,,0.1468999999999999,0.1003,0.5564000000000004,0.0144,0.2,0.09,1.0,1.0,1.0,0.0
number,random_forest,246,3,,,0.2540000000000001,0.2262,0.8483000000000002,0.3093000000000003,0.19,0.07,0.83,0.5,0.0,1.0
number,random_forest,256,1,,0.9455305560363264,0.1648000000000002,0.1320999999999998,0.6792000000000006,0.1678,0.08,0.11,0.75,0.0,1.0,0.6666666666666666
number,random_forest,256,2,,,0.0128,0.003,0.0433,0.0097999999999999,0.13,0.02,0.67,0.0,1.0,0.6666666666666666
number,random_forest,257,1,,0.8410318786990006,0.2034,0.2043999999999999,0.8392000000000006,0.1718999999999999,0.39,0.56,1.0,0.25,1.0,0.6666666666666666
number,random_forest,257,2,,0.9182958340544896,0.5167999999999995,0.3794999999999997,0.9566000000000002,0.184,0.21,0.16,1.0,0.0,0.0,0.0
number,random_forest,257,3,,,0.2553000000000002,0.2167,0.9344,0.3169999999999998,0.17,0.13,0.83,0.0,0.0,0.0
number,random_forest,258,1,,0.9296413565956572,0.2543999999999999,0.2838000000000002,0.8724999999999998,0.0789,0.41,0.34,1.0,0.75,1.0,0.6666666666666666
number,random_forest,258,2,,1.0,0.6380000000000008,0.4433000000000001,0.9797,0.1592,0.41,0.22,1.0,0.0,1.0,1.0
number,random_forest,258,3,,,0.3291999999999999,0.2920999999999998,0.9274000000000002,0.1321,0.33,0.33,1.0,0.33,1.0,0.0
number,random_forest,260,1,,0.969987031426616,0.1705000000000001,0.2065,0.9319000000000002,0.0711,0.11,0.12,0.75,0.0,1.0,0.6666666666666666
number,random_forest,260,2,,0.6500224216483541,0.3985000000000002,0.2406,0.7886999999999992,0.0569,0.31,0.22,1.0,0.0,1.0,1.0
number,random_forest,262,1,,,0.2144999999999999,0.2907000000000002,0.8154000000000003,0.2475999999999998,0.3,0.27,0.87,0.13,1.0,0.8333333333333334
number,random_forest,262,2,,,0.0173,0.0815,0.9699,0.0224,0.0,0.07,1.0,0.0,1.0,0.6666666666666666
number,random_forest,262,3,,,0.032,0.1455,0.9945,0.0772,0.0,0.07,1.0,0.0,0.0,0.0
number,random_forest,268,1,,,0.1791,0.1294999999999999,0.5744000000000001,0.1345999999999998,0.43,0.07,1.0,0.14,0.1428571428571428,1.0
number,random_forest,268,2,,0.8622039089312962,0.1726999999999999,0.0845,0.5755999999999998,0.5670999999999997,0.61,0.56,1.0,0.0,1.0,0.6666666666666666
number,random_forest,269,1,,0.7456573285181993,0.4138999999999999,0.221,0.9179999999999998,0.021,0.43,0.22,1.0,0.86,1.0,0.5714285714285714
number,random_forest,269,2,,0.7416130984854556,0.4028999999999995,0.1454999999999999,0.9886,0.4243999999999999,0.37,0.33,1.0,0.4,0.0,1.0
number,random_forest,272,1,,0.7219280948873623,0.1658,0.0987999999999998,0.5760000000000006,0.018,0.3,0.29,0.83,0.5,0.0,0.4285714285714285
number,random_forest,272,2,,0.8080141510844469,0.0434999999999999,0.0303,0.1205999999999999,0.0447999999999999,0.12,0.02,0.57,0.0,0.0,0.0
number,random_forest,273,2,,,0.0,0.0,0.0,0.0,0.0,0.34,1.0,0.0,0.0,0.6666666666666666
number,random_forest,274,1,,0.9386935321483066,0.3480999999999996,0.1715,0.91,0.034,0.34,0.09,1.0,0.71,1.0,0.7142857142857143
number,random_forest,274,2,,0.74349728061978,0.2927999999999998,0.2389999999999996,0.8785000000000001,0.0339,0.26,0.07,1.0,0.6,1.0,0.6666666666666666
number,random_forest,278,1,,0.8647869792568111,0.2230000000000002,0.1836999999999999,0.8960000000000001,0.1970000000000002,0.25,0.03,0.86,0.0,0.1428571428571428,0.5714285714285714
number,random_forest,278,2,,0.8549912206176892,0.2314000000000002,0.1520000000000001,0.9076999999999998,0.3938999999999998,0.06,0.22,1.0,0.0,0.0,0.6666666666666666
number,random_forest,279,1,,0.7725068857142602,0.5149000000000004,0.3430000000000007,0.91,0.0288,0.4,0.28,1.0,0.14,1.0,0.8571428571428571
number,random_forest,279,2,,0.9609640474436812,0.1068,0.0584999999999999,0.2489,0.0636999999999999,0.5,0.25,0.86,0.43,1.0,1.0
number,random_forest,280,1,,0.9248008763572906,0.4122000000000003,0.2625000000000003,0.987,0.1918999999999999,0.34,0.11,0.86,0.57,1.0,0.8571428571428571
number,random_forest,280,2,,0.8527924884900404,0.3393000000000001,0.2061999999999997,0.9694,0.4787000000000001,0.53,0.33,1.0,0.8,1.0,0.3333333333333333
number,random_forest,282,1,,0.9654013672997088,0.2187999999999998,0.3063999999999999,0.9298,0.0262,0.34,0.29,1.0,0.29,1.0,0.7142857142857143
number,random_forest,282,2,,0.6159908907005701,0.3732999999999998,0.3773000000000004,0.9958,0.3907000000000002,0.51,0.58,1.0,0.4,0.0,1.0
number,random_forest,283,1,,0.9602297178607612,0.3405000000000004,0.2941999999999999,0.8858,0.2047999999999997,0.25,0.22,0.71,0.0,1.0,0.4285714285714285
number,random_forest,283,2,,0.9446232142545792,0.1519000000000002,0.174,0.6017999999999997,0.0408,0.35,0.47,1.0,0.6,0.0,0.0
number,random_forest,288,1,,0.9795739585136224,0.1475000000000003,0.0907999999999998,0.4063000000000002,0.019,0.24,0.18,0.71,0.57,0.2857142857142857,0.5714285714285714
number,random_forest,288,2,,0.8158193502814548,0.3049999999999995,0.1396999999999999,0.8932999999999996,0.4385000000000001,0.61,0.44,1.0,1.0,0.0,0.3333333333333333
number,random_forest,290,1,,0.5462947022805018,0.2952000000000002,0.1643000000000002,0.7871000000000001,0.026,0.24,0.14,0.71,0.0,1.0,0.8571428571428571
number,random_forest,290,2,,0.9057125980138372,0.2614000000000002,0.1435000000000001,0.9210999999999998,0.3985999999999995,0.33,0.08,1.0,0.2,1.0,1.0
number,random_forest,292,1,,0.8173454221465103,0.4008,0.1730000000000001,0.7980999999999994,0.1015999999999999,0.42,0.15,1.0,0.57,1.0,0.1428571428571428
number,random_forest,292,2,,0.7959585933443496,0.4228999999999996,0.1937000000000003,0.8519999999999996,0.1799000000000002,0.43,0.37,1.0,1.0,1.0,0.0
number,random_forest,295,1,,0.9134443205612236,0.4047000000000004,0.1981,0.966,0.1991000000000002,0.39,0.1,1.0,0.0,1.0,0.8571428571428571
number,random_forest,295,2,,0.922317214818483,0.3167999999999996,0.1696999999999999,0.8922999999999996,0.1596000000000001,0.55,0.49,1.0,0.4,1.0,0.6666666666666666
number,random_forest,297,1,,0.8120406807941,0.5056000000000005,0.3395000000000002,0.978,0.0581999999999999,0.39,0.12,1.0,0.14,0.0,0.2857142857142857
number,random_forest,297,2,,0.8044888910870112,0.2687999999999996,0.2178000000000002,0.9223,0.2229000000000002,0.65,0.63,1.0,0.8,0.0,0.3333333333333333
number,random_forest,298,1,,0.7729510322715425,0.3091000000000002,0.1556000000000001,0.8654000000000006,0.1389999999999998,0.49,0.21,1.0,0.57,1.0,0.5714285714285714
number,random_forest,298,2,,0.920619835714305,0.3081999999999996,0.1571,0.8409999999999995,0.3593999999999998,0.54,0.51,1.0,0.8,0.0,0.3333333333333333
number,random_forest,299,1,,0.8920795639257109,0.3558000000000001,0.1921999999999998,0.8516000000000007,0.15,0.41,0.24,1.0,0.43,0.0,0.4285714285714285
number,random_forest,299,2,,0.6913698302025114,0.2526999999999995,0.1417000000000001,0.8465999999999997,0.0731999999999999,0.25,0.18,0.8,0.4,0.0,0.6666666666666666
