exp_id,course_name,student_id,test_type,score
1,star,0,pre,54.5454545454545
1,star,0,post,100.0
1,bulb,0,pre,50.0
1,bulb,0,post,54.5454545454545
1,immune,0,pre,54.5454545454545
1,immune,0,post,66.6666666666667
1,internet,0,pre,72.7272727272727
1,internet,0,post,66.6666666666667
1,birth,0,pre,72.7272727272727
1,birth,0,post,91.6666666666667
1,star,1,pre,63.6363636363636
1,star,1,post,66.6666666666667
1,bulb,1,pre,54.5454545454545
1,bulb,1,post,75.0
1,immune,1,pre,81.8181818181818
1,immune,1,post,75.0
1,internet,1,pre,81.8181818181818
1,internet,1,post,66.6666666666667
1,birth,1,pre,36.3636363636364
1,birth,1,post,75.0
1,star,2,pre,72.7272727272727
1,star,2,post,66.6666666666667
1,bulb,2,pre,72.7272727272727
1,bulb,2,post,75.0
1,immune,2,pre,72.7272727272727
1,immune,2,post,75.0
1,internet,2,pre,63.6363636363636
1,internet,2,post,100.0
1,birth,2,pre,63.6363636363636
1,birth,2,post,83.3333333333333
1,star,3,pre,81.8181818181818
1,star,3,post,91.6666666666667
1,bulb,3,pre,54.5454545454545
1,bulb,3,post,83.3333333333333
1,immune,3,pre,90.9090909090909
1,immune,3,post,75.0
1,internet,3,pre,72.7272727272727
1,internet,3,post,83.3333333333333
1,birth,3,pre,54.5454545454545
1,birth,3,post,100.0
1,star,4,pre,27.2727272727273
1,star,4,post,83.3333333333333
1,bulb,4,pre,45.4545454545455
1,bulb,4,post,66.6666666666667
1,immune,4,pre,54.5454545454545
1,immune,4,post,66.6666666666667
1,internet,4,pre,45.4545454545455
1,internet,4,post,41.6666666666667
1,birth,4,pre,45.4545454545455
1,birth,4,post,91.6666666666667
1,star,5,pre,81.8181818181818
1,star,5,post,91.6666666666667
1,bulb,5,pre,63.6363636363636
1,bulb,5,post,100.0
1,immune,5,pre,90.9090909090909
1,immune,5,post,83.3333333333333
1,internet,5,pre,81.8181818181818
1,internet,5,post,91.6666666666667
1,birth,5,pre,72.7272727272727
1,birth,5,post,100.0
1,star,6,pre,63.6363636363636
1,star,6,post,75.0
1,bulb,6,pre,54.5454545454545
1,bulb,6,post,83.3333333333333
1,immune,6,pre,72.7272727272727
1,immune,6,post,83.3333333333333
1,internet,6,pre,81.8181818181818
1,internet,6,post,66.6666666666667
1,birth,6,pre,54.5454545454545
1,birth,6,post,100.0
1,star,7,pre,0.0
1,star,7,post,66.6666666666667
1,bulb,7,pre,54.5454545454545
1,bulb,7,post,83.3333333333333
1,immune,7,pre,54.5454545454545
1,immune,7,post,50.0
1,internet,7,pre,63.6363636363636
1,internet,7,post,75.0
1,birth,7,pre,27.2727272727273
1,birth,7,post,75.0
1,star,8,pre,54.5454545454545
