start_timestamp,end_timestamp,transcript_id,course_name,exp_id,pupil_size_avg,pupil_size_rela,student_id
1.09,20.02,0,star,1,3194.972710166898,0.499129749382848,0
1.09,20.02,0,star,1,3284.903905202586,0.6543363143551805,1
1.09,20.02,0,star,1,3666.2422913095243,0.34240600224848183,2
1.09,20.02,0,star,1,3916.7708921474223,0.5950291660230107,3
1.09,20.02,0,star,1,2925.638897497486,0.48817260066978835,4
1.09,20.02,0,star,1,3157.356745771479,0.6043493416157237,5
1.09,20.02,0,star,1,3227.8606704966874,0.6936475484754758,6
1.09,20.02,0,star,1,3268.432715896497,0.5381632943965264,7
1.09,20.02,0,star,1,3001.1854254250184,0.49299343772230086,8
1.09,20.02,0,star,1,4163.134674818532,0.4992954050695658,9
1.09,20.02,0,star,1,3749.745020895551,0.6118733973876624,10
1.09,20.02,0,star,1,3527.36100158171,0.8348942122231725,11
1.09,20.02,0,star,1,3110.1627459919932,0.4671332438784235,12
1.09,20.02,0,star,1,4035.1082734691067,0.5165082582126561,13
1.09,20.02,0,star,1,4863.613565055474,0.7154960255543268,14
1.09,20.02,0,star,1,3941.0210941627047,0.2761187859621863,15
1.09,20.02,0,star,1,4006.357486555574,0.5969012256979088,16
1.09,20.02,0,star,1,2912.2857831914266,0.40470035343581306,17
1.09,20.02,0,star,1,3444.877639053989,0.644195250872468,18
1.09,20.02,0,star,1,2250.166422475775,0.2040309471694474,19
1.09,20.02,0,star,1,2859.7910658307214,0.8931066799633564,20
1.09,20.02,0,star,1,3032.2579239302695,0.40786576467147445,21
1.09,20.02,0,star,1,3020.051570173635,0.7077768071421057,22
1.09,20.02,0,star,1,3344.1273075302493,0.9268938678074783,23
1.09,20.02,0,star,1,4283.9339599856185,0.7393127484376625,24
1.09,20.02,0,star,1,1493.4801590290344,0.2678601130820696,25
1.09,20.02,0,star,1,3004.9902003508596,0.5456668142436559,26
20.02,42.46,1,star,1,3304.971423716377,0.5618070790406707,0
20.02,42.46,1,star,1,3334.6026152904087,0.6821748300184337,1
20.02,42.46,1,star,1,4025.428284775471,0.5356178090910808,2
20.02,42.46,1,star,1,4031.4671444312407,0.6632753555559633,3
20.02,42.46,1,star,1,3127.6403421708997,0.5813219935537852,4
20.02,42.46,1,star,1,3226.9513157518445,0.6483339015653939,5
20.02,42.46,1,star,1,3239.2025910436687,0.6994048685500857,6
20.02,42.46,1,star,1,3448.008534273705,0.6213002473489376,7
20.02,42.46,1,star,1,3161.1566445881513,0.5696217685590809,8
20.02,42.46,1,star,1,4647.9545870164875,0.643715992557786,9
20.02,42.46,1,star,1,3920.35315975423,0.6714614834330426,10
20.02,42.46,1,star,1,2757.971549052495,0.5915469992137077,11
20.02,42.46,1,star,1,3162.356119645706,0.5058236617091963,12
20.02,42.46,1,star,1,4202.439672302147,0.5869118643331195,13
20.02,42.46,1,star,1,4890.135150642203,0.7283167235917726,14
20.02,42.46,1,star,1,4301.712758949527,0.4481224410822731,15
